"X","GeneSymbol","padj","log2FoldChange","diffexpressed","gene.label"
1,"A2m",0.32270499124705,-0.199937570508752,NA,NA
2,"Aadat",0.119537598324386,-0.351472370501378,NA,NA
3,"Aanat",0.0431620347793985,-0.253756592245783,NA,NA
4,"Abl1",0.77848182491652,-0.0379678501990207,NA,NA
5,"Acaa2",0.0386299280848746,-0.605728220576001,"DOWN","Acaa2"
6,"Acaca",0.0195578474035296,0.758347581321149,"UP","Acaca"
7,"Acacb",0.434308684464607,-0.172334858966269,NA,NA
8,"Acadl",0.100357029593869,-0.132766975641696,NA,NA
9,"Acap2",0.0194046462354603,-0.149377624038227,NA,NA
10,"Acat1",0.0277179444279939,-0.475558111784772,NA,NA
11,"Acat2",1,0,NA,NA
12,"Acmsd",0.532284823197029,-0.321928094887362,NA,NA
13,"Acot12",0.135790593916012,-0.317740297923929,NA,NA
14,"Acox1",0.654902061656558,0.109600021089421,NA,NA
15,"Acsf3",0.701114671047837,0.0635400539099337,NA,NA
16,"Acy1",0.193932980276419,0.207206017521772,NA,NA
17,"Ada",0.600467741627151,-0.15014034942786,NA,NA
18,"Adal",0.278048671310894,0.202696619995528,NA,NA
19,"Adcy2",0.771207089049278,-0.078002512001273,NA,NA
20,"Adh1",0.062472416593107,-1.37159823801395,NA,NA
21,"Adh4",0.466879217337006,-0.166009951438929,NA,NA
22,"Adh7",0.182098648024316,-0.596103058326357,NA,NA
23,"Adk",0.0775423414045589,-0.374784879884971,NA,NA
24,"Adora2a",0.171877655366919,-0.299789117618114,NA,NA
25,"Afmid",0.0849904952656333,-0.483374629041998,NA,NA
26,"Agxt",0.379429686762387,-0.34577483684173,NA,NA
27,"Agxt2",0.875912058493293,-0.0524674198941357,NA,NA
28,"Ak1",0.0472419934198304,-0.273434176980362,NA,NA
29,"Ak3",0.017321380816165,-0.39684682579097,NA,NA
30,"Ak5",0.55031306196789,-0.241008099503795,NA,NA
31,"Akr1c6",0.0114443347791085,-0.53605290024021,NA,NA
32,"Akt1",0.196898274886904,0.191102654503503,NA,NA
33,"Akt1s1",0.0036405319610916,0.527923573064116,NA,NA
34,"Akt2",0.275604455873157,0.110297642534058,NA,NA
35,"Akt3",0.0993352535451996,-0.325300394459636,NA,NA
36,"Aldh2",0.625345150122119,0.10210443644674,NA,NA
37,"Aldoa",0.0028896915358845,0.394629663433212,NA,NA
38,"Aldob",0.0194593517546981,-0.522840788813359,NA,NA
39,"Alox12",0.455572139334062,0.216811389073148,NA,NA
40,"Alox15",0.206258779508539,0.317970081318679,NA,NA
41,"Alox5",0.903143935261583,-0.0316393171739568,NA,NA
42,"Amdhd1",0.303554844559971,-0.331205908475373,NA,NA
43,"Ampd1",0.154276977947106,-0.490986352512142,NA,NA
44,"Ampd2",0.0509122815390394,0.416041811913129,NA,NA
45,"Ampd3",0.0432267798455485,-0.3417479148937,NA,NA
46,"Aoc1",0.037711114944876,0.353015772671459,NA,NA
47,"Aoc2",0.810765959039918,0.052948879948959,NA,NA
48,"Aox1",0.31558356032024,0.377981805017555,NA,NA
49,"Ap2s1",0.133869831627851,0.135066696621948,NA,NA
50,"Apoa1",0.244118418975843,-0.511899038531433,NA,NA
51,"Apoa2",0.198408929975608,-0.358047520694014,NA,NA
52,"Apoa4",0.570509111249442,-0.175849835399418,NA,NA
53,"Apob",0.644712837277605,0.115477217419936,NA,NA
54,"Apoc2",0.778883952907093,0.0681715026415792,NA,NA
55,"Apoc3",1,0,NA,NA
56,"Apoe",0.114267819755333,-0.472848337943619,NA,NA
57,"Apom",0.0215533808279207,-0.796466605914868,"DOWN","Apom"
58,"Aprt",0.123714877104756,0.664491160429278,NA,NA
59,"Ar",0.214687307040852,-0.277638818742566,NA,NA
60,"Arf5",0.32420019109122,-0.0862610960405861,NA,NA
61,"Arg1",0.0550792397196465,-0.603109847431416,NA,NA
62,"Arid1a",0.407423762690769,0.1298679544016,NA,NA
63,"Arid1b",0.527845302051361,0.111271982176755,NA,NA
64,"Arid2",0.40051324970837,0.117836490293858,NA,NA
65,"Arpc4",1,0,NA,NA
66,"Ascl1",0.602089169078518,0.154033628672421,NA,NA
67,"Ash1l",0.602609844939391,-0.0696221409332025,NA,NA
68,"Asl",0.0903750975715306,0.367570760443074,NA,NA
69,"Asmt",0.404971030693618,-0.258311995591391,NA,NA
70,"Asns",0.000711845303826022,6.27628039197984,"UP","Asns"
71,"Aspa",0.0761165812214497,-0.369433532105422,NA,NA
72,"Aspg",0.00646393115047289,-0.457472765599241,NA,NA
73,"Ass1",0.924647070691767,-0.0315355734331066,NA,NA
74,"Atf4",0.03510782171804,2.89247507351207,"UP","Atf4"
75,"Atf7",0.19283190768238,0.0996956974034315,NA,NA
76,"Atf7ip",0.738501573927667,-0.0852780915496432,NA,NA
77,"Atg101",0.70985567375455,0.0229263968495077,NA,NA
78,"Atg2b",0.0260187068980101,0.463104157848057,NA,NA
79,"Atox1",0.231205921106322,-0.273284502527551,NA,NA
80,"Atp5d",0.830763434496739,-0.0173871539493077,NA,NA
81,"Atp5k",0.0486750524268498,-0.577391683005836,NA,NA
82,"Atp6v1f",0.184207440439086,-0.17292164287466,NA,NA
83,"Atxn7",0.121792103833561,-0.240454033680859,NA,NA
84,"Bad",0.608922687520154,-0.0843208544384569,NA,NA
85,"Bcl2",0.10147559421165,0.594645054118495,NA,NA
86,"Bcl2a1a",0.106331254450144,-0.306153283126992,NA,NA
87,"Bcl2l1",0.199456426393886,-0.15101291149754,NA,NA
88,"Bhmt",0.0326058858186384,-0.584962500721156,NA,NA
89,"Bhmt2",0.162386664407832,-0.584962500721156,NA,NA
90,"Birc3",0.0437177300017557,-0.388967128848418,NA,NA
91,"Blk",0.718675301165884,-0.440572591385981,NA,NA
92,"Braf",0.0788434202284186,0.182557671156434,NA,NA
93,"Brca1",0.145966891383469,0.271302021817394,NA,NA
94,"Brca2",0.00487866019083189,0.802767652561952,"UP","Brca2"
95,"Brcc3",0.21733346280514,0.1421271905795,NA,NA
96,"Brip1",0.800812648038935,0.0565835283663672,NA,NA
97,"Btk",0.219023883846881,0.415037499278844,NA,NA
